service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20210304,20211211
000002,0,0,0,0,0,0,0,20210304,20211211
000003,0,0,0,0,0,0,0,20210304,20211211
000004,0,0,0,0,0,0,0,20210304,20211211
000005,0,0,0,0,0,0,0,20210304,20211211
000006,0,0,0,0,0,0,0,20210304,20211211
000007,0,0,0,0,0,0,0,20210304,20211211
000008,0,0,0,0,0,0,0,20210304,20211211
000009,0,0,0,0,0,0,0,20210304,20211211
000010,0,0,0,0,0,0,0,20210304,20211211
000011,0,0,0,0,0,0,0,20210304,20211211
000012,0,0,0,0,0,0,0,20210304,20211211
000013,0,0,0,0,0,0,0,20210304,20211211
000014,0,0,0,0,0,0,0,20210304,20211211
000015,0,0,0,0,0,0,0,20210304,20211211
000016,0,0,0,0,0,0,0,20210304,20211211
000017,0,0,0,0,0,0,0,20210304,20211211
000018,0,0,0,0,0,0,0,20210304,20211211
000019,0,0,0,0,0,0,0,20210304,20211211
000020,0,0,0,0,0,0,0,20210304,20211211
000021,0,0,0,0,0,0,0,20210304,20211211
000022,0,0,0,0,0,0,0,20210304,20211211
000023,0,0,0,0,0,0,0,20210304,20211211
000024,0,0,0,0,0,0,0,20210304,20211211
000025,0,0,0,0,0,0,0,20210304,20211211
000026,0,0,0,0,0,0,0,20210304,20211211
000027,0,0,0,0,0,0,0,20210304,20211211
000028,0,0,0,0,0,0,0,20210304,20211211
000029,0,0,0,0,0,0,0,20210304,20211211
000030,0,0,0,0,0,0,0,20210304,20211211
000031,0,0,0,0,0,0,0,20210304,20211211
000032,0,0,0,0,0,0,0,20210304,20211211
000033,0,0,0,0,0,0,0,20210304,20211211
000034,0,0,0,0,0,0,0,20210304,20211211
000035,0,0,0,0,0,0,0,20210304,20211211
000036,0,0,0,0,0,0,0,20210304,20211211
000037,0,0,0,0,0,0,0,20210304,20211211
000038,0,0,0,0,0,0,0,20210304,20211211
000039,0,0,0,0,0,0,0,20210304,20211211
000040,0,0,0,0,0,0,0,20210304,20211211
000041,0,0,0,0,0,0,0,20210304,20211211
000042,0,0,0,0,0,0,0,20210304,20211211
000043,0,0,0,0,0,0,0,20210304,20211211
000044,0,0,0,0,0,0,0,20210304,20211211
000045,0,0,0,0,0,0,0,20210304,20211211
000047,0,0,0,0,0,0,0,20210304,20211211
000048,0,0,0,0,0,0,0,20210304,20211211
000049,0,0,0,0,0,0,0,20210304,20211211
000050,0,0,0,0,0,0,0,20210304,20211211
000051,0,0,0,0,0,0,0,20210304,20211211
000052,0,0,0,0,0,0,0,20210304,20211211
000053,0,0,0,0,0,0,0,20210304,20211211
000054,0,0,0,0,0,0,0,20210304,20211211
000055,0,0,0,0,0,0,0,20210304,20211211
000056,0,0,0,0,0,0,0,20210304,20211211
000057,0,0,0,0,0,0,0,20210304,20211211
000058,0,0,0,0,0,0,0,20210304,20211211
000059,0,0,0,0,0,0,0,20210304,20211211
000060,0,0,0,0,0,0,0,20210304,20211211
000061,0,0,0,0,0,0,0,20210304,20211211
000062,0,0,0,0,0,0,0,20210304,20211211
000063,0,0,0,0,0,0,0,20210304,20211211
000064,0,0,0,0,0,0,0,20210304,20211211
000065,0,0,0,0,0,0,0,20210304,20211211
000066,0,0,0,0,0,0,0,20210304,20211211
000067,0,0,0,0,0,0,0,20210304,20211211
000069,0,0,0,0,0,0,0,20210304,20211211
000070,0,0,0,0,0,0,0,20210304,20211211
000071,0,0,0,0,0,0,0,20210304,20211211
000072,0,0,0,0,0,0,0,20210304,20211211
000073,0,0,0,0,0,0,0,20210304,20211211
000074,0,0,0,0,0,0,0,20210304,20211211
000075,0,0,0,0,0,0,0,20210304,20211211
000076,0,0,0,0,0,0,0,20210304,20211211
000077,0,0,0,0,0,0,0,20210304,20211211
000078,0,0,0,0,0,0,0,20210304,20211211
000079,0,0,0,0,0,0,0,20210304,20211211
000080,0,0,0,0,0,0,0,20210304,20211211
000081,0,0,0,0,0,0,0,20210304,20211211
000082,0,0,0,0,0,0,0,20210304,20211211
000083,0,0,0,0,0,0,0,20210304,20211211
000084,0,0,0,0,0,0,0,20210304,20211211
000085,0,0,0,0,0,0,0,20210304,20211211
000086,0,0,0,0,0,0,0,20210304,20211211
000087,0,0,0,0,0,0,0,20210304,20211211
000088,0,0,0,0,0,0,0,20210304,20211211
000089,0,0,0,0,0,0,0,20210304,20211211
000090,0,0,0,0,0,0,0,20210304,20211211
000091,0,0,0,0,0,0,0,20210304,20211211
000092,0,0,0,0,0,0,0,20210304,20211211
000093,0,0,0,0,0,0,0,20210304,20211211
000094,0,0,0,0,0,0,0,20210304,20211211
000095,0,0,0,0,0,0,0,20210304,20211211
000096,0,0,0,0,0,0,0,20210304,20211211
000097,0,0,0,0,0,0,0,20210304,20211211
000098,0,0,0,0,0,0,0,20210304,20211211
000099,0,0,0,0,0,0,0,20210304,20211211
000100,0,0,0,0,0,0,0,20210304,20211211
000101,0,0,0,0,0,0,0,20210304,20211211
000102,0,0,0,0,0,0,0,20210304,20211211
000103,0,0,0,0,0,0,0,20210304,20211211
000104,0,0,0,0,0,0,0,20210304,20211211
000105,0,0,0,0,0,0,0,20210304,20211211
000106,0,0,0,0,0,0,0,20210304,20211211
000107,0,0,0,0,0,0,0,20210304,20211211
000108,0,0,0,0,0,0,0,20210304,20211211
000109,0,0,0,0,0,0,0,20210304,20211211
